"ID",Title,Authors,Status in the selection phase,Status in the full-reading phase,Year,Journal/Conference,Inclusion or Exclusion Criteria (Selection Phase),Inclusion or Exclusion Criteria (Full-reading Phase),Method,Quality criteria,Collaborative activity,Object under evaluation,Type of approach
346,Orientation data correction with georeferenced mobile videos,"Wang, G.a  and Yin, Y.a  and Seo, B.b  and Zimmermann, R.a  and Shen, Z.c ",REJECTED,UNCLASSIFIED,2013,ACM International Symposium on Advances in Geographic Information Systems,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
347,OSMRec Tool for Automatic Recommendation of Categories on Spatial Entities in OpenStreetMap,"Karagiannakis, Nikos and Giannopoulos, Giorgos and Skoutas, Dimitrios and Athanasiou, Spiros",REJECTED,UNCLASSIFIED,2015,9th ACM Conference on Recommender Systems,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
348,Outsourcing Search Services on Private Spatial Data,"Yiu, Man Lung and Ghinita, Gabriel and Jensen, Christian S. and Kalnis,Panos",REJECTED,UNCLASSIFIED,2009,25th International Conference on Data Engineering,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
349,Participatory Spatial Knowledge Management Tools: Empowerment and upscaling or exclusion?,"Pfeffer, K.a  and Baud, I.a  and Denis, E.b  and Scott, D.c  and Sydenstricker-Neto, J.d ",REJECTED,UNCLASSIFIED,2013,Information Communication and Society,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
350,Participatory telerobotics,"Wissner-Gross, Alexander D. and Sullivan, Timothy M.",REJECTED,UNCLASSIFIED,2013,Next-generation analyst,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
351,Partners HealthCare Center for Connected Health.,"Ternullo, J. and Jethwani, K. and Lane, S. and Myint-U, K. and Havasy, R. and Carter, M. and Kvedar, J.",REJECTED,UNCLASSIFIED,2013,Telemedicine journal and e-health : the official journal of the American Telemedicine Association,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
352,Pattern-mining approach for conflating crowdsourcing road networks withPOIs,"Yang, Bisheng and Zhang, Yunfei",REJECTED,UNCLASSIFIED,2015,International Journal of Geographical Information Science,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
353,Personal  Location  Based  Services on  Place-enhanced  Blog,"Kaji, Hideki and Arikawa, Masatoshi",REJECTED,UNCLASSIFIED,2008,16th  ACM  International  Conference on  Multimedia,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
354,Phillies tweeting from philly? Predicting twitter user locations with spatial word usage,"Chang, H.-W.a  and Lee, D.a  and Eltaher, M.b  and Lee, J.b ",REJECTED,UNCLASSIFIED,2012,International Conference on Advances in Social Networks Analysis and Mining,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
355,Photo  Stream  Alignment for  Collaborative  Photo  Collection and  Sharing in  Social  Media,"Yang, Jianchao and Luo, Jiebo and Yu, Jie and Huang, Thomas S.",REJECTED,UNCLASSIFIED,2011,3rd ACM SIGMM International Workshop on  Social Media,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
356,Photo based volunteered geographic information initiatives: A comparative study of their suitability for helping quality control of corine land cover,"Estima, J. and Painho, M.",REJECTED,UNCLASSIFIED,2014,International Journal of Agricultural and Environmental Information Systems,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
357,Photographer  Paths:  Sequence  Alignment of  Geotagged  Photos for  Exploration-based  Route  Planning,"El Ali, Abdallah and van Sas, Sicco N.A. and Nack, Frank",REJECTED,UNCLASSIFIED,2013,Conference on Computer Supported  Cooperative Work,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
358,Placing  Flickr  Photos on a  Map,"Serdyukov, Pavel and Murdock, Vanessa and van Zwol, Roelof",REJECTED,UNCLASSIFIED,2009,32nd  International  ACM  SIGIR  Conference on  Research and  Development in  Information  Retrieval,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
359,Placing  Photos with a  Multimodal  Probability  Density  Function,"Hare, Jonathon and Davies, Jamie and Samangooei, Sina and Lewis, Paul",REJECTED,UNCLASSIFIED,2014,Proceedings of  International  Conference on  Multimedia  Retrieval,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
360,Placing  User-generated  Content on the  Map with  Confidence,"Intagorn, Suradej and Lerman, Kristina",REJECTED,UNCLASSIFIED,2014,22nd  ACM  SIGSPATIAL  International  Conference on  Advances in  Geographic  Information  Systems,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
361,Placing images on the world map: A microblog-based enrichment approach,"Hauff, C. and Houben, G.-J.",REJECTED,UNCLASSIFIED,2012, International ACM SIGIR Conference on Research and Development in Information Retrieval,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
362,Predicting geo-informative attributes in large-scale image collections using convolutional neural networks,"Lee, S. and Zhang, H. and Crandall, D.J.",REJECTED,UNCLASSIFIED,2015,IEEE Winter Conference on Applications of Computer Vision,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
363,Predicting the topic influence trends in social media with multiple models,"Han, Y.a  b  and Fang, B.b  c  and Jia, Y.b ",REJECTED,UNCLASSIFIED,2014,Neurocomputing,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
364,Predicting Well-being with Geo-referenced Data Collected from Social Media Platforms,"Loff, Joao and Reis, Manuel and Martins, Bruno",REJECTED,UNCLASSIFIED,2015,30th Annual ACM Symposium on Applied Computing,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
365,Prediction of user location using the radiation model and social check-ins,"Tarasov, A.a  and Kling, F.b  and Pozdnoukhov, A.c ",REJECTED,UNCLASSIFIED,2013,International Conference on Knowledge Discovery and Data Mining,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
366,Privacy-preserving  Publication of  Provenance  Workflows,"Maruseac, Mihai and Ghinita, Gabriel and Rughinis, Razvan",REJECTED,UNCLASSIFIED,2014,4th  ACM Conference on Data and  Application Security and Privacy,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
367,Probabilistic Convex Hull Queries over Uncertain Data,"Yan, Da and Zhao, Zhou and Ng, Wilfred and Liu, Steven",REJECTED,UNCLASSIFIED,2015,IEEE Transactions on Knowledge and Data Engineering,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
368,Prospects and challenges of rendering tissue density in Hounsfield units for cone beam computed tomography,"Molteni, R.",REJECTED,UNCLASSIFIED,2013,"Oral Surgery, Oral Medicine, Oral Pathology and Oral Radiology",(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
369,Proximate sensing using georeferenced community contributed photo collections,"Leung, D. and Newsam, S.",REJECTED,UNCLASSIFIED,2009,ACM International Symposium on Advances in Geographic Information Systems,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
370,Purposive hidden-object-game: Embedding human computation in popular game,"Ni, Y. and Dong, J. and Feng, J. and Yan, S.",REJECTED,UNCLASSIFIED,2011,ACM Multimedia Conference and Co-Located Workshops,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
371,Putting  Ubiquitous  Crowd-sourcing into  Context,"Mashhadi, Afra and Quattrone, Giovanni and Capra, Licia",REJECTED,UNCLASSIFIED,2013,Conference on  Computer  Supported  Cooperative  Work,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
372,QualEvS4Geo: A peer-to-peer system architecture for semi-automated quality evaluation of geo-data in SDI,"Mobasheri, A.a  and Zipf, A.a  and Bakillah, M.a  b  and Liang, S.H.L.c ",REJECTED,UNCLASSIFIED,2013,3rd International Conference on Innovative Computing Technology,"(E1) the primary study is related to quality assessment, but it is not related to volunteered geographic information; ",,,,,,
373,Qualitative matching of spatial information,"Wallgrun, J.O.a  and Wolter, D.b  and Richter, K.-F.a ",REJECTED,UNCLASSIFIED,2010,International Symposium on Advances in Geographic Information Systems,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
374,Quality-aware similarity assessment for entity matching in Web data ,Surender Reddy Yerva and Zoltan Miklos and Karl Aberer,REJECTED,UNCLASSIFIED,2012,Information Systems ,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
375,Rare is  Interesting:  Connecting  Spatio-temporal  Behavior  Patterns with  Subjective  Image  Appeal,"Yildirim, Gokhan and Susstrunk, Sabine",REJECTED,UNCLASSIFIED,2013,2nd  ACM  International  Workshop on  Geotagging and  Its  Applications in  Multimedia,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
376,Reading between the Lines: Object localization using implicit cues from image tags,"Hwang, S.J. and Grauman, K.",REJECTED,UNCLASSIFIED,2012,IEEE Transactions on Pattern Analysis and Machine Intelligence,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
377,Realising the full potential of citizen science monitoring programs ,Ayesha I.T. Tulloch and Hugh P. Possingham and Liana N. Joseph and Judit Szabo and Tara G. Martin,REJECTED,UNCLASSIFIED,2013,Biological Conservation ,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
378,Real-time  Spatio-temporal  Analysis of  West  Nile  Virus  Using  Twitter  Data,"Sugumaran, Ramanathan and Voss, Jonathan",REJECTED,UNCLASSIFIED,2012,Proceedings of the 3rd  International  Conference on  Computing for  Geospatial  Research and  Applications,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
379,Real-Time Visual Concept Classification,"Uijlings, Jasper R. R. and Smeulders, Arnold W. M. and Scha, Remko J. H.",REJECTED,UNCLASSIFIED,2010,Transactions on Multimedia,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
380,Recommending Fair Payments for Large-Scale Social Ridesharing,"Bistaffa, Filippo and Farinelli, Alessandro and Chalkiadakis, Georgios and Ramchurn, Sarvapali D.",REJECTED,UNCLASSIFIED,2015,Proceedings of the 9th ACM Conference on Recommender Systems,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
381,Reliable Diversity-based Spatial Crowdsourcing by Moving Workers,"Cheng, Peng and Lian, Xiang and Chen, Zhao and Fu, Rui and Chen, Lei and Han, Jinsong and Zhao, Jizhong",REJECTED,UNCLASSIFIED,2015,Proc. VLDB Endow.,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
382,Remote transmitter tracking with Raytraced fingerprint database,"De Groot, E.a  and Bose, T.a  and Cooper, C.b  and Kruse, M.b ",REJECTED,UNCLASSIFIED,2014,IEEE Military Communications Conference ,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
